Importaciones,,,,
Ruta temática,Precios e inflación> Índice general de precios de las exportaciones e importaciones> Índice> Importaciones,,,
Periodicidad,Mensual,,,
Unidad de medida,Índice base 1980 = 100,,,
Fuente,Banco de México.,,,
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. ",,,
Fecha inicial,2015/10,,,
Fecha final,1970/01,,,
Última actualización,2015/12/09,,,
Periodo,Dato,,,
1970/01,42.197,,,
1970/02,42.32,,,
1970/03,42.492,,,
1970/04,42.571,,,
1970/05,42.653,,,
1970/06,42.693,,,
1970/07,42.858,,,
1970/08,42.926,,,
1970/09,43.134,,,
1970/10,43.624,,,
1970/11,43.768,,,
1970/12,43.828,,,
1971/01,43.985,,,
1971/02,44.106,,,
1971/03,44.211,,,
1971/04,44.238,,,
1971/05,44.325,,,
1971/06,44.415,,,
1971/07,44.609,,,
1971/08,44.725,,,
1971/09,44.52,,,
1971/10,44.585,,,
1971/11,44.575,,,
1971/12,44.806,,,
1972/01,44.969,,,
1972/02,45.183,,,
1972/03,45.34,,,
1972/04,45.497,,,
1972/05,45.59,,,
1972/06,45.653,,,
1972/07,45.714,,,
1972/08,45.815,,,
1972/09,45.941,,,
1972/10,45.867,,,
1972/11,46.138,,,
1972/12,46.537,,,
1973/01,46.863,,,
1973/02,47.272,,,
1973/03,47.857,,,
1973/04,48.304,,,
1973/05,49.38,,,
1973/06,50.6,,,
1973/07,49.353,,,
1973/08,52.212,,,
1973/09,51.636,,,
1973/10,51.498,,,
1973/11,51.386,,,
1973/12,52.537,,,
1974/01,53.017,,,
1974/02,53.829,,,
1974/03,54.822,,,
1974/04,55.246,,,
1974/05,56.332,,,
1974/06,57.383,,,
1974/07,59.492,,,
1974/08,62.354,,,
1974/09,62.392,,,
1974/10,64.636,,,
1974/11,65.093,,,
1974/12,65.254,,,
1975/01,65.612,,,
1975/02,65.306,,,
1975/03,65.365,,,
1975/04,65.874,,,
1975/05,65.732,,,
1975/06,65.55,,,
1975/07,66.52,,,
1975/08,66.861,,,
1975/09,66.972,,,
1975/10,67.546,,,
1975/11,67.347,,,
1975/12,67.122,,,
1976/01,67.424,,,
1976/02,67.7,,,
1976/03,67.891,,,
1976/04,68.466,,,
1976/05,68.777,,,
1976/06,69.566,,,
1976/07,70.316,,,
1976/08,70.227,,,
1976/09,70.742,,,
1976/10,71.048,,,
1976/11,71.252,,,
1976/12,71.41,,,
1977/01,76.084,,,
1977/02,73.463,,,
1977/03,73.053,,,
1977/04,74.283,,,
1977/05,74.065,,,
1977/06,73.705,,,
1977/07,73.406,,,
1977/08,73.434,,,
1977/09,73.523,,,
1977/10,74.334,,,
1977/11,74.686,,,
1977/12,74.753,,,
1978/01,76.64,,,
1978/02,75.843,,,
1978/03,76.021,,,
1978/04,77.201,,,
1978/05,77.524,,,
1978/06,77.884,,,
1978/07,78.418,,,
1978/08,78.611,,,
1978/09,79.088,,,
1978/10,80.385,,,
1978/11,80.889,,,
1978/12,81.176,,,
1979/01,82.435,,,
1979/02,83.371,,,
1979/03,84.146,,,
1979/04,85.733,,,
1979/05,86.455,,,
1979/06,87.234,,,
1979/07,88.948,,,
1979/08,89.243,,,
1979/09,89.709,,,
1979/10,91.271,,,
1979/11,91.628,,,
1979/12,92.249,,,
1980/01,94.767,,,
1980/02,96.384,,,
1980/03,96.921,,,
1980/04,98.402,,,
1980/05,98.816,,,
1980/06,99.379,,,
1980/07,101.472,,,
1980/08,101.93,,,
1980/09,101.897,,,
1980/10,102.893,,,
1980/11,103.247,,,
1980/12,103.871,,,
1981/01,105.181,,,
1981/02,105.998,,,
1981/03,106.712,,,
1981/04,107.818,,,
1981/05,108.095,,,
1981/06,108.155,,,
1981/07,108.942,,,
1981/08,109.361,,,
1981/09,109.093,,,
1981/10,110.101,,,
1981/11,110.171,,,
1981/12,110.253,,,
1982/01,111.249,,,
1982/02,111.455,,,
1982/03,111.708,,,
1982/04,111.962,,,
1982/05,112.087,,,
1982/06,111.934,,,
1982/07,111.861,,,
1982/08,111.81,,,
1982/09,111.216,,,
1982/10,111.854,,,
1982/11,111.699,,,
1982/12,111.529,,,
1983/01,111.762,,,
1983/02,112.339,,,
1983/03,112.525,,,
1983/04,112.903,,,
1983/05,113.121,,,
1983/06,113.297,,,
1983/07,114.217,,,
1983/08,115.412,,,
1983/09,116.122,,,
1983/10,116.922,,,
1983/11,116.696,,,
1983/12,116.856,,,
1984/01,117.248,,,
1984/02,117.039,,,
1984/03,117.721,,,
1984/04,118.695,,,
1984/05,119.479,,,
1984/06,119.686,,,
1984/07,118.753,,,
1984/08,118.784,,,
1984/09,118.21,,,
1984/10,118.538,,,
1984/11,118.383,,,
1984/12,117.723,,,
1985/01,118.373,,,
1985/02,118.105,,,
1985/03,118.13,,,
1985/04,118.72,,,
1985/05,119.053,,,
1985/06,119.084,,,
1985/07,119.103,,,
1985/08,118.968,,,
1985/09,118.144,,,
1985/10,118.898,,,
1985/11,118.545,,,
1985/12,117.551,,,
1986/01,117.463,,,
1986/02,117.102,,,
1986/03,116.566,,,
1986/04,116.515,,,
1986/05,116.484,,,
1986/06,116.428,,,
1986/07,116.302,,,
1986/08,115.948,,,
1986/09,115.988,,,
1986/10,116.374,,,
1986/11,116.75,,,
1986/12,116.614,,,
1987/01,117.391,,,
1987/02,117.681,,,
1987/03,118.144,,,
1987/04,119.061,,,
1987/05,120.161,,,
1987/06,120.777,,,
1987/07,121.105,,,
1987/08,121.013,,,
1987/09,121.092,,,
1987/10,121.928,,,
1987/11,122.317,,,
1987/12,122.793,,,
1988/01,123.666,,,
1988/02,124.153,,,
1988/03,124.495,,,
1988/04,125.623,,,
1988/05,126.316,,,
1988/06,127.291,,,
1988/07,128.602,,,
1988/08,128.856,,,
1988/09,129.181,,,
1988/10,129.651,,,
1988/11,129.917,,,
1988/12,130.321,,,
1989/01,131.834,,,
1989/02,132.062,,,
1989/03,132.799,,,
1989/04,133.223,,,
1989/05,133.805,,,
1989/06,133.43,,,
1989/07,133.3,,,
1989/08,132.707,,,
1989/09,132.886,,,
1989/10,133.152,,,
1989/11,133.269,,,
1989/12,133.302,,,
1990/01,134.318,,,
1990/02,134.114,,,
1990/03,134.286,,,
1990/04,134.583,,,
1990/05,134.88,,,
1990/06,134.89,,,
1990/07,134.997,,,
1990/08,135.254,,,
1990/09,136.128,,,
1990/10,137.229,,,
1990/11,137.278,,,
1990/12,136.998,,,
1991/01,137.062,,,
1991/02,136.715,,,
1991/03,136.363,,,
1991/04,136.039,,,
1991/05,135.964,,,
1991/06,135.708,,,
1991/07,135.107,,,
1991/08,135.365,,,
1991/09,135.341,,,
1991/10,135.624,,,
1991/11,135.781,,,
1991/12,135.821,,,
1992/01,135.815,,,
1992/02,136.26,,,
1992/03,136.463,,,
1992/04,136.534,,,
1992/05,137.252,,,
1992/06,137.68,,,
1992/07,137.507,,,
1992/08,137.317,,,
1992/09,137.533,,,
1992/10,137.769,,,
1992/11,137.9,,,
1992/12,137.712,,,
1993/01,138.268,,,
1993/02,138.449,,,
1993/03,138.492,,,
1993/04,139.004,,,
1993/05,139.102,,,
1993/06,138.893,,,
1993/07,139.256,,,
1993/08,139.156,,,
1993/09,139.13,,,
1993/10,139.235,,,
1993/11,139.611,,,
1993/12,139.825,,,
1994/01,140.462,,,
1994/02,140.667,,,
1994/03,140.939,,,
1994/04,141.256,,,
1994/05,141.622,,,
1994/06,142.176,,,
1994/07,142.291,,,
1994/08,142.84,,,
1994/09,143.577,,,
1994/10,143.989,,,
1994/11,144.879,,,
1994/12,145.48,,,
1995/01,147.147,,,
1995/02,148.362,,,
1995/03,150.036,,,
1995/04,150.313,,,
1995/05,150.994,,,
1995/06,151.368,,,
1995/07,151.698,,,
1995/08,151.182,,,
1995/09,151.046,,,
1995/10,150.797,,,
1995/11,150.804,,,
1995/12,150.457,,,
1996/01,151.08,,,
1996/02,150.833,,,
1996/03,150.268,,,
1996/04,150.275,,,
1996/05,150.743,,,
1996/06,150.994,,,
1996/07,151.304,,,
1996/08,151.633,,,
1996/09,152.022,,,
1996/10,151.245,,,
1996/11,150.188,,,
1996/12,150.314,,,
1997/01,151.098,,,
1997/02,151.145,,,
1997/03,151.783,,,
1997/04,151.852,,,
1997/05,151.982,,,
1997/06,151.969,,,
1997/07,151.619,,,
1997/08,151.901,,,
1997/09,152.01,,,
1997/10,151.695,,,
1997/11,152.307,,,
1997/12,152.16,,,
1998/01,151.326,,,
1998/02,151.558,,,
1998/03,151.13,,,
1998/04,150.807,,,
1998/05,150.922,,,
1998/06,150.942,,,
1998/07,151.24,,,
1998/08,150.646,,,
1998/09,151.003,,,
1998/10,150.382,,,
1998/11,150.192,,,
1998/12,149.113,,,
1999/01,148.985,,,
1999/02,148.503,,,
1999/03,148.44,,,
1999/04,148.221,,,
1999/05,148.699,,,
1999/06,149.305,,,
1999/07,149.272,,,
1999/08,149.835,,,
1999/09,150.185,,,
1999/10,150.399,,,
1999/11,150.757,,,
1999/12,150.644,,,
2000/01,151.485,,,
2000/02,152.099,,,
2000/03,153.137,,,
2000/04,153.566,,,
2000/05,153.879,,,
2000/06,154.221,,,
2000/07,154.308,,,
2000/08,153.773,,,
2000/09,154.082,,,
2000/10,154.572,,,
2000/11,155.181,,,
2000/12,155.247,,,
2001/01,155.127,,,
2001/02,155.238,,,
2001/03,155.432,,,
2001/04,155.412,,,
2001/05,155.721,,,
2001/06,155.767,,,
2001/07,155.01,,,
2001/08,154.952,,,
2001/09,154.85,,,
2001/10,153.445,,,
2001/11,152.873,,,
2001/12,152.312,,,
2002/01,152.546,,,
2002/02,152.248,,,
2002/03,152.892,,,
2002/04,153.072,,,
2002/05,153.165,,,
2002/06,153.663,,,
2002/07,154.43,,,
2002/08,154.971,,,
2002/09,155.483,,,
2002/10,155.591,,,
2002/11,155.378,,,
2002/12,155.539,,,
2003/01,156.213,,,
2003/02,157.263,,,
2003/03,157.425,,,
2003/04,157.323,,,
2003/05,157.421,,,
2003/06,157.595,,,
2003/07,157.371,,,
2003/08,157.322,,,
2003/09,157.584,,,
2003/10,158.677,,,
2003/11,159.353,,,
2003/12,159.818,,,
2004/01,161.498,,,
2004/02,162.081,,,
2004/03,163.882,,,
2004/04,165.961,,,
2004/05,167.115,,,
2004/06,166.836,,,
2004/07,167.995,,,
2004/08,167.49,,,
2004/09,168.406,,,
2004/10,169.095,,,
2004/11,169.682,,,
2004/12,169.667,,,
2005/01,171.346,,,
2005/02,171.892,,,
2005/03,173.749,,,
2005/04,174.013,,,
2005/05,173.999,,,
2005/06,174.313,,,
2005/07,174.87,,,
2005/08,175.592,,,
2005/09,176.85,,,
2005/10,177.921,,,
2005/11,177.758,,,
2005/12,178.551,,,
2006/01,179.593,,,
2006/02,179.486,,,
2006/03,179.706,,,
2006/04,180.69,,,
2006/05,181.783,,,
2006/06,182.842,,,
2006/07,183.858,,,
2006/08,185.021,,,
2006/09,184.976,,,
2006/10,185.817,,,
2006/11,186.137,,,
2006/12,186.463,,,
2007/01,186.728,,,
2007/02,188.889,,,
2007/03,189.931,,,
2007/04,191.593,,,
2007/05,192.669,,,
2007/06,193.112,,,
2007/07,193.787,,,
2007/08,193.203,,,
2007/09,194.167,,,
2007/10,195.53,,,
2007/11,197.606,,,
2007/12,198.245,,,
2008/01,200.819,,,
2008/02,202.327,,,
2008/03,205.551,,,
2008/04,207.658,,,
2008/05,210.772,,,
2008/06,213.397,,,
2008/07,218.101,,,
2008/08,216.551,,,
2008/09,215.875,,,
2008/10,210.641,,,
2008/11,206.264,,,
2008/12,202.353,,,
2009/01,202.64,,,
2009/02,202.001,,,
2009/03,200.872,,,
2009/04,199.707,,,
2009/05,200.049,,,
2009/06,201.088,,,
2009/07,200.255,,,
2009/08,200.615,,,
2009/09,200.776,,,
2009/10,201.174,,,
2009/11,202.287,,,
2009/12,203.429,,,
2010/01,204.494,,,
2010/02,205.177,,,
2010/03,206.268,,,
2010/04,207.844,,,
2010/05,208.955,,,
2010/06,209.214,,,
2010/07,209.778,,,
2010/08,210.781,,,
2010/09,211.93,,,
2010/10,213.473,,,
2010/11,215.023,,,
2010/12,215.697,,,
2011/01,218.436,,,
2011/02,221.443,,,
2011/03,222.429,,,
2011/04,224.914,,,
2011/05,226.351,,,
2011/06,227.29,,,
2011/07,227.578,,,
2011/08,227.546,,,
2011/09,227.932,,,
2011/10,226.294,,,
2011/11,226.106,,,
2011/12,225.295,,,
2012/01,226.351,,,
2012/02,226.151,,,
2012/03,228.291,,,
2012/04,228.564,,,
2012/05,227.419,,,
2012/06,226.486,,,
2012/07,227.309,,,
2012/08,227.994,,,
2012/09,228.647,,,
2012/10,228.199,,,
2012/11,227.134,,,
2012/12,227.501,,,
2013/01,227.242,,,
2013/02,227.196,,,
2013/03,227.457,,,
2013/04,226.622,,,
2013/05,227.217,,,
2013/06,226.707,,,
2013/07,227.888,,,
2013/08,226.094,,,
2013/09,227.48,,,
2013/10,226.55,,,
2013/11,226.677,,,
2013/12,227.134,,,
2014/01,228.69,,,
2014/02,229.2,,,
2014/03,229.022,,,
2014/04,229.524,,,
2014/05,229.953,,,
2014/06,230.11,,,
2014/07,229.083,,,
2014/08,229.104,,,
2014/09,229.72,,,
2014/10,227.318,,,
2014/11,226.722,,,
2014/12,225.237,,,
2015/01,222.952,,,
2015/02,222.951,,,
2015/03,222.506,,,
2015/04,221.493,,,
2015/05,221.33,,,
2015/06,221.281,,,
2015/07,221.607,,,
2015/08,220.706,,,
2015/09,220.206,,,
2015/10,219.646,,,